127.0.0.1 - - [02/Jul/2016:02:01:34 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Jul/2016:02:01:35 +0900] "GET /EReceipt/index.html HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [02/Jul/2016:02:01:35 +0900] "GET /EReceipt/login.jsp HTTP/1.1" 200 1461
0:0:0:0:0:0:0:1 - - [02/Jul/2016:02:01:47 +0900] "GET /EReceipt/login.jsp HTTP/1.1" 200 1461
0:0:0:0:0:0:0:1 - - [02/Jul/2016:02:01:53 +0900] "POST /EReceipt/login_do.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:02:01:53 +0900] "GET /EReceipt/main.jsp HTTP/1.1" 200 4453
0:0:0:0:0:0:0:1 - - [02/Jul/2016:02:01:53 +0900] "GET /EReceipt/main_contents.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:02:01:53 +0900] "GET /EReceipt/images/logo.gif HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [02/Jul/2016:02:01:53 +0900] "GET /EReceipt/images/sp_mn20140731.png HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [02/Jul/2016:02:01:53 +0900] "GET /EReceipt/images/sp_login_m.png HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Jul/2016:02:01:53 +0900] "GET /EReceipt/images/sp_main20140818_v2.png HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [02/Jul/2016:02:01:58 +0900] "GET /EReceipt/product_save.jsp HTTP/1.1" 200 5732
0:0:0:0:0:0:0:1 - - [02/Jul/2016:02:01:58 +0900] "GET /EReceipt/images/logo.gif HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [02/Jul/2016:02:01:58 +0900] "GET /EReceipt/product_save_contents.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:02:01:58 +0900] "GET /EReceipt/images/sp_mn20140731.png HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [02/Jul/2016:02:01:58 +0900] "GET /EReceipt/images/sp_main20140818_v2.png HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [02/Jul/2016:02:01:58 +0900] "GET /EReceipt/images/sp_login_m.png HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Jul/2016:02:02:00 +0900] "GET /EReceipt/product_purchase.jsp HTTP/1.1" 200 4800
0:0:0:0:0:0:0:1 - - [02/Jul/2016:02:02:00 +0900] "GET /EReceipt/product_save_contents.css HTTP/1.1" 304 -
